2026-06-10 06:42:42 | INFO     | main             | Initialising database...
2026-06-10 06:42:42 | INFO     | database         | Database setup complete: /home/claude/weather_pipeline/src/../config/../database/weather_data.db
2026-06-10 06:42:42 | WARNING  | main             | ============================================================
2026-06-10 06:42:42 | WARNING  | main             | API key not set!
2026-06-10 06:42:42 | WARNING  | main             | Set env variable: export OPENWEATHER_API_KEY=your_key
2026-06-10 06:42:42 | WARNING  | main             | Get a free key at: https://openweathermap.org/api
2026-06-10 06:42:42 | WARNING  | main             | ============================================================
2026-06-10 06:42:45 | INFO     | main             | Initialising database...
2026-06-10 06:42:45 | INFO     | database         | Database setup complete: /home/claude/weather_pipeline/src/../config/../database/weather_data.db
2026-06-10 06:42:45 | WARNING  | main             | ============================================================
2026-06-10 06:42:45 | WARNING  | main             | API key not set!
2026-06-10 06:42:45 | WARNING  | main             | Set env variable: export OPENWEATHER_API_KEY=your_key
2026-06-10 06:42:45 | WARNING  | main             | Get a free key at: https://openweathermap.org/api
2026-06-10 06:42:45 | WARNING  | main             | ============================================================
2026-06-10 06:42:46 | INFO     | main             | Initialising database...
2026-06-10 06:42:46 | INFO     | database         | Database setup complete: /home/claude/weather_pipeline/src/../config/../database/weather_data.db
2026-06-10 06:42:46 | WARNING  | main             | ============================================================
2026-06-10 06:42:46 | WARNING  | main             | API key not set!
2026-06-10 06:42:46 | WARNING  | main             | Set env variable: export OPENWEATHER_API_KEY=your_key
2026-06-10 06:42:46 | WARNING  | main             | Get a free key at: https://openweathermap.org/api
2026-06-10 06:42:46 | WARNING  | main             | ============================================================
2026-06-10 06:42:46 | INFO     | monitor          | Health check [database]: OK
2026-06-10 06:42:46 | INFO     | monitor          | Health check [disk_space]: OK
2026-06-10 06:42:46 | WARNING  | monitor          | Health check [data_fresh]: {'status': 'WARNING', 'age_minutes': 1440.2, 'details': 'Last record is 1440 min old (threshold: 90 min)'}
2026-06-10 06:42:46 | INFO     | monitor          | Health check [log_dir]: OK
2026-06-10 12:22:43 | INFO     | main             | Initialising database...
2026-06-10 12:22:43 | INFO     | database         | Database setup complete: /Users/abhinav/Documents/The Developers Arena Internship/Project - 3/weather_pipeline/src/../config/../database/weather_data.db
2026-06-10 12:22:43 | INFO     | main             | Running one-shot ETL pipeline...
2026-06-10 12:22:43 | INFO     | etl_pipeline     | ============================================================
2026-06-10 12:22:43 | INFO     | etl_pipeline     | Pipeline Run #1 started at 2026-06-10 12:22:43
2026-06-10 12:22:43 | INFO     | etl_pipeline     | ============================================================
2026-06-10 12:22:43 | INFO     | etl_pipeline     | [EXTRACT] Fetching data for 10 cities...
2026-06-10 12:22:44 | INFO     | etl_pipeline     |   [OK] Extracted: Mumbai
2026-06-10 12:22:46 | INFO     | etl_pipeline     |   [OK] Extracted: Delhi
2026-06-10 12:22:47 | INFO     | etl_pipeline     |   [OK] Extracted: Bangalore
2026-06-10 12:22:48 | INFO     | etl_pipeline     |   [OK] Extracted: Chennai
2026-06-10 12:22:50 | INFO     | etl_pipeline     |   [OK] Extracted: Kolkata
2026-06-10 12:22:50 | INFO     | etl_pipeline     |   [OK] Extracted: Hyderabad
2026-06-10 12:22:52 | INFO     | etl_pipeline     |   [OK] Extracted: Pune
2026-06-10 12:22:53 | INFO     | etl_pipeline     |   [OK] Extracted: Ahmedabad
2026-06-10 12:22:54 | INFO     | etl_pipeline     |   [OK] Extracted: Jaipur
2026-06-10 12:22:54 | INFO     | etl_pipeline     |   [OK] Extracted: Surat
2026-06-10 12:22:54 | INFO     | etl_pipeline     | Extract complete: 10/10 cities fetched
2026-06-10 12:22:54 | INFO     | etl_pipeline     | [TRANSFORM] Validating and enriching records...
